Document Count,Term List Size
0,636
500,566376
1000,828396
1500,913536
2000,951516
2500,997296
3000,1119276
3500,1185036
4000,1231956
4500,1310136
5000,1382016
5500,1429236
6000,1465356
6500,1554756
7000,1767156
7500,1847256
8000,1915596
8500,1977036
9000,2087436
9500,2216976
10000,2270616
10500,2302296
11000,2331696
11500,2358876
12000,2390496
12500,2436516
13000,2486016
13500,2521476
14000,2549976
14500,2569836
15000,2615196
15500,2725716
16000,2860536
16500,2955096
17000,3010176
17500,3017676
18000,3032676
18500,3050976
19000,3067476
19500,3090876
20000,3104616
20500,3121296
21000,3135036
21500,3156756
22000,3175236
22500,3194016
23000,3209496
23500,3218916
24000,3243276
24500,3262356
25000,3277536
25500,3294156
26000,3306636
26500,3319656
27000,3331896
27500,3353856
28000,3368016
28500,3382176
29000,3400776
29500,3444216
30000,3488016
30500,3519396
31000,3549456
31500,3576756
32000,3628776
32500,3699756
33000,3773496
33500,3840636
34000,3906636
34500,3953076
35000,3975936
35500,3992316
36000,4009956
36500,4028196
37000,4056816
37500,4079556
38000,4103256
38500,4133136
39000,4149336
39500,4161696
40000,4174956
40500,4184556
41000,4193256
41500,4210296
42000,4228176
42500,4239096
43000,4250976
43500,4258776
44000,4269396
44500,4276296
45000,4284516
45500,4295316
46000,4303836
46500,4314396
47000,4322256
47500,4333356
48000,4348596
48500,4361796
49000,4376736
49500,4387776
50000,4403136
50500,4416936
51000,4428036
51500,4439856
52000,4452816
52500,4472196
53000,4491396
53500,4499676
54000,4509756
54500,4519176
55000,4524756
55500,4530336
56000,4538256
56500,4544856
57000,4556016
57500,4566216
58000,4570896
58500,4574436
59000,4583316
59500,4593696
60000,4600956
60500,4610736
61000,4619796
61500,4631916
62000,4641996
62500,4647576
63000,4654116
63500,4665816
64000,4671816
64500,4682916
65000,4690176
65500,4702836
66000,4708596
66500,4712676
67000,4718436
67500,4726896
68000,4731996
68500,4738596
69000,4745496
69500,4754256
70000,4760436
70500,4764876
71000,4769376
71500,4772196
72000,4772196
72500,4775496
73000,4782036
73500,4785396
74000,4793496
74500,4801296
75000,4805616
75500,4813296
76000,4819536
76500,4830336
77000,4837176
77500,4844136
78000,4849596
78500,4854456
79000,4857336
79500,4860936
80000,4869036
80500,4876536
81000,4886736
81500,4896096
82000,4915776
82500,4936536
83000,4942056
83500,4970496
84000,5002716
84500,5027016
85000,5046036
85500,5057676
86000,5069496
86500,5082696
87000,5094456
87500,5106336
88000,5118096
88500,5130456
89000,5142156
89500,5148636
90000,5163396
90500,5171736
91000,5178336
91500,5183016
92000,5199456
92500,5228676
93000,5248296
93500,5269176
94000,5292396
94500,5309976
95000,5322276
95500,5342916
96000,5362476
96500,5379396
97000,5393676
97500,5418396
98000,5433036
98500,5438676
99000,5445816
99500,5452776
100000,5457936
100500,5463936
101000,5466096
101500,5470416
102000,5476416
102500,5481036
103000,5484576
103500,5486736
104000,5488836
104500,5491176
105000,5495496
105500,5498556
106000,5500536
106500,5504196
107000,5509716
107500,5512176
108000,5516556
108500,5545416
109000,5570976
109500,5595216
110000,5620356
110500,5639556
111000,5658096
111500,5671416
112000,5681316
112500,5687256
113000,5692596
113500,5698476
114000,5702196
114500,5708316
115000,5726136
115500,5741316
116000,5753976
116500,5767236
117000,5779116
117500,5790636
118000,5802876
118500,5816136
119000,5880936
119500,5908776
120000,5921196
120500,5933376
121000,5943336
121500,5954376
122000,5964816
122500,5972316
123000,5978316
123500,5985456
124000,5990196
124500,5997996
125000,6009756
125500,6020736
126000,6030156
126500,6038976
127000,6042996
127500,6045756
128000,6049176
128500,6051816
129000,6054516
129500,6092496
130000,6204036
130500,6267756
131000,6270336
131500,6291216
132000,6313596
132500,6348036
133000,6366036
133500,6386136
134000,6443676
134500,6479736
135000,6509976
135500,6547056
136000,6582216
136500,6641616
137000,6687036
137500,6727416
138000,6738756
138500,6755856
139000,6764436
139500,6785856
140000,6817176
140500,6826356
141000,6834336
141500,6842316
142000,6849516
142500,6858876
143000,6866676
143500,6878136
144000,6888636
144500,6895896
145000,6905736
145500,6913236
146000,6924036
146500,6934836
147000,6939156
147500,6944616
148000,6949716
148500,6957936
149000,6963456
149500,6969696
150000,6977136
150500,6982056
151000,6986016
151500,6992196
152000,6997416
152500,7005096
153000,7011876
153500,7019736
154000,7024956
154500,7031916
155000,7049316
155500,7065936
156000,7090476
156500,7111956
157000,7134876
157500,7156896
158000,7179396
158500,7199676
159000,7216476
159500,7235796
160000,7273296
160500,7299036
161000,7315416
161500,7326816
162000,7335696
162500,7346916
163000,7351956
163500,7357716
164000,7363056
164500,7366836
165000,7372536
165500,7377756
166000,7383936
166500,7394556
167000,7415676
167500,7442676
168000,7459836
168500,7483236
169000,7508376
169500,7530276
170000,7560576
170500,7576236
171000,7576356
171500,7576356
172000,7576356
172500,7576356
173000,7576356
173500,7576356
174000,7576356
174500,7576356
175000,7576356
175500,7576356
176000,7576356
176500,7576356
177000,7576356
177500,7576356
178000,7576356
178500,7576356
179000,7576356
179500,7576356
180000,7576356
180500,7576356
181000,7576356
181500,7576356
182000,7576356
182500,7576356
183000,7576356
183500,7576356
184000,7576356
184500,7576356
185000,7576356
185500,7576356
186000,7576356
186500,7576356
187000,7576356
187500,7576356
188000,7576356
188500,7576356
189000,7576356
189500,7576356
190000,7576356
190500,7576356
191000,7576356
191500,7576356
192000,7576356
192500,7576356
193000,7576356
193500,7576356
194000,7576356
194500,7576356
195000,7576356
195500,7576356
196000,7576356
196500,7576356
197000,7576356
197500,7576356
198000,7576356
198500,7576356
199000,7576356
199500,7576356
200000,7576356
200500,7576356
201000,7576356
201500,7576356
202000,7576356
202500,7576356
203000,7576356
203500,7576356
204000,7576356
204500,7576356
205000,7576356
205500,7576356
206000,7576356
206500,7576356
207000,7576356
207500,7576356
208000,7576356
208500,7576356
209000,7576356
209500,7576356
210000,7576356
210500,7576356
211000,7576356
211500,7576356
212000,7576356
212500,7576356
213000,7576356
213500,7576356
214000,7576356
214500,7576356
215000,7576356
215500,7576356
216000,7576356
216500,7576356
217000,7576356
217500,7576356
218000,7576356
218500,7576356
219000,7576356
219500,7576356
220000,7576356
220500,7576356
221000,7576356
221500,7576356
222000,7576356
222500,7576356
223000,7576356
223500,7576356
224000,7576356
224500,7576356
225000,7576356
225500,7576356
226000,7576356
226500,7576356
227000,7576356
227500,7576356
228000,7576356
228500,7576356
229000,7576356
229500,7576356
230000,7576356
230500,7576356
231000,7576356
231500,7576356
232000,7576356
232500,7576356
233000,7576356
233500,7576356
234000,7576356
234500,7576356
235000,7576356
235500,7576356
236000,7576356
